Code	Assessment Method	Description	Grading Criteria	Distinction Criteria
K7	AM2	software design approaches and patterns, to identify reusable solutions to commonly occurring problems	Suggests and applies different software design approaches and patterns, to identify reusable solutions to commonly occurring problems (include Bespoke or off-the-shelf) (K7)	Evaluates and recommends approaches to using reusable solutions to common problems. (K7)
K8	AM2	organisational policies and procedures relating to the tasks being undertaken, and when to follow them. For example the storage and treatment of GDPR sensitive data	Explains the relevance of organisational policies and procedures relating to the tasks being undertaken, and when to follow them including how they have followed company, team or client approaches to continuous integration, version, and source control (K8 S14)	
K9	AM1	algorithms, logic and data structures relevant to software development for example:- arrays- stacks- queues- linked lists- trees- graphs- hash tables- sorting algorithms- searching algorithms- critical sections and race conditions	Outlines and applies the rationale and use of algorithms, logic and data structures. (K9, S16)	
S1	AM1	create logical and maintainable code	Creates logical and maintainable code to deliver project outcomes, explaining their choice of approach. (S1)	Evaluates the advantages and disadvantages of different coding and programming techniques to create logical and maintainable code (S1)
S10	AM1	build, manage and deploy code into the relevant environment	Reviews and justifies their contribution to building, managing and deploying code into the relevant environment in accordance with the project specification (S10)	
S11	AM1	apply an appropriate software development approach according to the relevant paradigm (for example object oriented, event driven or procedural)	Reviews methods of software design with reference to functional/technical specifications and applies a justified approach to software development (K11, S11, S12)	Evaluates different software development approaches in order justifying the best alignment with a given paradigm. (for example, object oriented, event driven or procedural) (S11)
S12	AM1	follow software designs and functional or technical specifications	Reviews methods of software design with reference to functional/technical specifications and applies a justified approach to software development (K11, S11, S12)	
S13	AM2	follow testing frameworks and methodologies	Illustrates how to conduct test types, such as Integration, System, User Acceptance, Non-Functional, Performance and Security testing including how they have followed testing frameworks and methodologies (S5, S13)	
S14	AM2	follow company, team or client approaches to continuous integration, version and source control	Explains the relevance of organisational policies and procedures relating to the tasks being undertaken, and when to follow them including how they have followed company, team or client approaches to continuous integration, version, and source control (K8 S14)	
S15	AM2	communicate software solutions and ideas to technical and non-technical stakeholders	Describes methods of communicating with all stakeholders that is determined by the audience and/or their level of technical knowledge. (K4, S15)	Compares and contrasts the different types of communication used for technical and non-technical audiences and the benefits of these types of communication methods (K4, S15, B7)
S16	AM1	apply algorithms, logic and data structures	Outlines and applies the rationale and use of algorithms, logic and data structures. (K9, S16)	
S17	AM2	interpret and implement a given design whist remaining compliant with security and maintainability requirements	Explains, how they have interpreted and implemented a given design whilst remaining compliant with security and maintainability requirements (S17)	
S2	AM2	develop effective user interfaces	Explains, their own approach to development of user interfaces (S2)	
S3	AM2	link code to data sets	Explains, how they have linked code to data sets (S3)	
S4	AM1	test code and analyse results to correct errors found using unit testing	Analyses unit testing results and reviews the outcomes correcting errors. (S4)	
S5	AM2	conduct a range of test types, such as Integration, System, User Acceptance, Non-Functional, Performance and Security testing	Illustrates how to conduct test types, such as Integration, System, User Acceptance, Non-Functional, Performance and Security testing including how they have followed testing frameworks and methodologies (S5, S13)	
S6	AM1	identify and create test scenarios	Identifies and creates test scenarios which satisfy the project specification (S6)	
S7	AM1	apply structured techniques to problem solving, debug code and understand the structure of programmes in order to identify and resolve issues	Applies structured techniques to problem solving to identify and resolve issues and debug basic flaws in code (S7)	Analyses the software to identify and debug complex issues using a fix that provides a permanent solution. (S7)
S8	AM2	create simple software designs to effectively communicate understanding of the program	Creates simple software designs to communicate understanding of the programme to stakeholders and users of the programme (S8)	
S9	AM2	create analysis artefacts, such as use cases and/or user stories	Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities (S9)
